,area,demand,demand_met,energy_purchased,energy_sold,panel_area,pct_dem_met,population,reward_risk,storage,total_prod,wind_mills
0,1600.0,0.000444444444444,0.000444444444444,3196509.9783,27.021509027,600.0,0.235926135413,50000.0,2.96561968263,900.0,2582.94659683,0.0
0,1600.0,0.00045,0.00045,3195166.69762,19.3089114606,600.0,0.240790364212,50000.0,2.96612644964,1000.0,2583.28618495,0.0
0,1600.0,0.000461111111111,0.000461111111111,3198142.91174,22.7840441462,600.0,0.249018046182,50000.0,2.97157500674,1100.0,2585.50171578,0.0
0,1600.0,0.000472222222222,0.000472222222222,3193792.84578,12.9824429511,600.0,0.247015248855,50000.0,2.96532507853,1200.0,2583.92239736,0.0
0,1600.0,0.000458333333333,0.000458333333333,3199622.97347,4.18946725023,600.0,0.235214210283,50000.0,2.9653884602,1300.0,2584.11151179,0.0
0,1600.0,0.000475,0.000475,3190969.46645,11.1763383067,600.0,0.244476544582,50000.0,2.97468501934,1400.0,2589.13557606,0.0
0,1600.0,0.000416666666667,0.000416666666667,3194746.32559,6.57610360676,600.0,0.242763529159,50000.0,2.97695248004,1500.0,2585.85008315,0.0
0,1600.0,0.000380555555556,0.000380555555556,3198168.78288,8.60648558573,600.0,0.242128490556,50000.0,2.97282519724,1600.0,2584.61979446,0.0
0,1600.0,0.00045,0.00045,3194804.45578,8.58134318262,600.0,0.237540465204,50000.0,2.96528858487,1700.0,2582.19931361,0.0
0,1600.0,0.000422222222222,0.000422222222222,3191752.63272,7.30761814673,600.0,0.241525413316,50000.0,2.9683155014,1800.0,2583.57755865,0.0
0,1600.0,0.000441666666667,0.000441666666667,3197342.4203,3.52847799291,600.0,0.237088150981,50000.0,2.96927852381,1900.0,2584.065181,0.0
0,1600.0,0.000463888888889,0.000463888888889,3192181.91698,9.58548183717,600.0,0.2335604961,50000.0,2.96476609027,2000.0,2584.14925496,0.0
0,1600.0,0.000433333333333,0.000433333333333,3193432.83998,1.2232031884,600.0,0.24123400265,50000.0,2.97145702954,2100.0,2585.03505046,0.0
0,1600.0,0.000444444444444,0.000444444444444,3199379.89995,5.36603505454,600.0,0.23657001372,50000.0,2.96941174176,2200.0,2582.19194873,0.0
0,1600.0,0.000386111111111,0.000386111111111,3196871.57746,0.0,600.0,0.246021888652,50000.0,2.9760690657,2300.0,2585.64457263,0.0
0,1600.0,0.000438888888889,0.000438888888889,3195126.08169,1.20992814418,600.0,0.250105139297,50000.0,2.96758637974,2400.0,2582.46620652,0.0
0,1700.0,0.000952777777778,0.000952777777778,3058324.52955,222.567168378,700.0,0.279931409627,50000.0,2.96699974096,0.0,3014.33988729,0.0
0,1700.0,0.000977777777778,0.000977777777778,3051762.67569,211.932444854,700.0,0.268626722495,50000.0,2.96871370384,100.0,3016.81252253,0.0
0,1700.0,0.000977777777778,0.000977777777778,3045326.10973,186.791649555,700.0,0.286658693122,50000.0,2.97355253587,200.0,3016.76003442,0.0
0,1700.0,0.000961111111111,0.000961111111111,3043960.9993,150.815428513,700.0,0.285490364068,50000.0,2.96537541599,300.0,3013.86676611,0.0
0,1700.0,0.000986111111111,0.000986111111111,3036178.22422,137.457928154,700.0,0.283325604928,50000.0,2.97334999021,400.0,3018.79248075,0.0
0,1700.0,0.001,0.001,3031460.08136,119.574535114,700.0,0.288146058635,50000.0,2.96953491229,500.0,3017.07834604,0.0
0,1700.0,0.000988888888889,0.000988888888889,3028507.85107,107.141456821,700.0,0.277223936378,50000.0,2.96698765225,600.0,3014.76388584,0.0
