DMU,(I)Pannel,(I)Wind,(I)Battery
2157,1725.90285462629,19.9841383167255,1362.55488523128
2158,1719.71151001688,19.9124490633533,1448.17811369842
2159,1711.46919332705,19.8170117122079,1531.31454139788
2160,1709.56879246517,19.7950070706493,1619.59148759858
2161,1702.40195162496,19.7120225977627,1702.40195162496
2162,1695.32381917205,19.6300652746238,1784.55138860216
2163,1690.62754084657,19.5756873150656,1868.58833461989
2164,1681.81920563618,19.473696065261,1947.3696065261
2165,1677.1602930822,19.4197507620044,2030.24667057318
2166,1670.99434145277,19.348355532611,2110.72969446665
2167,2000,22,100
2168,1881.25287015156,20.6937815716671,188.125287015156
2169,1869.71421518633,20.5668563670497,280.45713227795
2170,1863.18704366103,20.4950574802714,372.637408732207
2171,1852.74891187454,20.3802380306199,463.187227968635
2172,1848.93407832607,20.3382748615868,554.680223497821
2173,1840.85445113034,20.2493989624337,644.299057895618
2174,1835.52416861352,20.1907658547488,734.20966744541
2175,1826.21846512614,20.0884031163875,821.798309306763
2176,1822.59183162028,20.0485101478231,911.295915810142
2177,1812.53710378018,19.937908141582,996.8954070791
2178,1804.23950487389,19.8466345536128,1082.54370292433
2179,1800.70082430692,19.8077090673761,1170.4555357995
2180,1795.35502023116,19.7489052225428,1256.74851416182
2181,1787.756720343,19.665323923773,1340.81754025725
2182,1781.43397973464,19.5957737770811,1425.14718378771
2183,1775.40372598482,19.529440985833,1509.0931670871
2184,1767.60954022336,19.4437049424569,1590.84858620102
2185,1761.46848509842,19.3761533360827,1673.3950608435
2186,1756.02755396892,19.3163030936581,1756.02755396892
2187,1749.82492332761,19.2480741566037,1837.31616949399
2188,1743.51479588673,19.178662754754,1917.8662754754
2189,1737.19136395062,19.1091050034568,1997.77006854321
2190,1729.743511971,19.027178631681,2075.6922143652
2191,2100,22,100
2192,1940.20481417957,20.3259551961669,184.781410874244
2193,1930.48013054883,20.2240775581307,275.782875792691
2194,1923.32481682605,20.1491171286538,366.347584157342
2195,1914.14466891899,20.0529441505799,455.748730694998
2196,1909.27769097789,20.0019567626255,545.507911707968
2197,1902.0371560356,19.9261035394206,634.012385345201
2198,1893.7225031799,19.8389976523609,721.418096449487
2199,1887.03721028913,19.768961250648,808.730232981056
2200,1879.27386153344,19.6876309303503,894.892315015924
2201,1872.96883527759,19.6215782743367,981.078913716835
2202,1865.67526370196,19.5451694292586,1066.10015068683
2203,1859.56887959468,19.4811977862299,1151.16168736813
2204,1851.75049059925,19.399290853897,1234.50032706617
2205,1844.85742263944,19.3270777609846,1317.75530188531
2206,1838.78008571378,19.2634104217634,1400.97530340097
2207,1834.01885746867,19.213530887767,1484.68193223654
2208,1828.14756160774,19.1520220739858,1566.9836242352
2209,1820.0264199781,19.0669434473897,1646.69057045638
2210,1813.68423453454,19.0005015046476,1727.31831860433
2211,1807.62530371838,18.9370269913354,1807.62530371838
2212,1800.0606554658,18.857778295356,1885.7778295356
2213,1795.21692591353,18.8070344619513,1966.18996647673
2214,1788.54235730119,18.737110409822,2044.04840834422
2215,2198.97749944334,21.9897749944334,99.9535227019699
2216,1995.67873831681,19.9567873831681,181.425339846983
2217,1989.37625642853,19.8937625642853,271.278580422072
2218,1978.77117435739,19.7877117435739,359.776577155889
2219,1973.99310173823,19.7399310173823,448.634795849597
2220,1966.25246622122,19.6625246622122,536.250672605786
2221,1959.19306954131,19.5919306954131,623.379613035871
2222,1951.28447704625,19.5128447704625,709.557991653181
2223,1942.17815988439,19.4217815988439,794.527429043615
