DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
601,2300,14,1500,0.866811111111,0.948325365256,1.73717646966,163245.801,4204360.5765,50000,22556.7272321,18300
602,2300,14,1600,0.870208333333,0.955070389183,1.73764623534,157920.950228,4202527.50689,50000,22562.0546557,18300
603,2300,14,1700,0.872188888889,0.957865436672,1.73938117813,154533.093585,4202575.22442,50000,22562.9329652,18300
604,2300,14,1800,0.876580555556,0.955886084865,1.73851990216,147447.283551,4218574.08119,50000,22621.9768043,18300
605,2300,14,1900,0.877975,0.949500105598,1.73687736782,146133.297361,4214633.03229,50000,22602.2630736,18300
606,2300,14,2000,0.879611111111,0.958283431399,1.73109885695,143426.572877,4199400.3962,50000,22559.2509396,18300
607,2300,14,2100,0.882469444444,0.960174436074,1.73478559423,138735.685954,4206291.36545,50000,22589.9507227,18300
608,2300,14,2200,0.885547222222,0.956789615683,1.73180786487,134400.896525,4215045.09257,50000,22620.8099973,18300
609,2300,14,2300,0.8877,0.961931074568,1.74031293228,131304.487308,4186995.02591,50000,22550.0096891,18300
610,2300,14,2400,0.889797222222,0.945746798827,1.73897110817,128561.047702,4192465.43584,50000,22567.0094589,18300
611,2400,14,100,0.837041666667,0.960452733387,1.7683063922,215407.326674,4353561.2179,50000,22993.1042661,18400
612,2400,14,200,0.840241666667,0.955984939931,1.75928660879,211225.245392,4360623.9766,50000,23005.3541973,18400
613,2400,14,300,0.844522222222,0.957038484148,1.76796526545,204742.857612,4365874.97279,50000,23021.6963396,18400
614,2400,14,400,0.847286111111,0.943714348986,1.76736111814,198731.441097,4351951.67049,50000,22989.5279929,18400
615,2400,14,500,0.850011111111,0.950019354966,1.76321001086,193509.377859,4367441.87811,50000,23035.4031447,18400
616,2400,14,600,0.852369444444,0.954444633444,1.7620601416,189127.67803,4350290.74925,50000,22992.9339434,18400
617,2400,14,700,0.855319444444,0.946201818173,1.76592965077,184368.468036,4351820.69181,50000,22992.9722249,18400
618,2400,14,800,0.858730555556,0.9561945463,1.76691388606,178469.89126,4354778.845,50000,23008.1047454,18400
619,2400,14,900,0.862505555556,0.966530929563,1.76034274018,173168.825937,4368962.11993,50000,23047.8666012,18400
620,2400,14,1000,0.864344444444,0.954149609332,1.76525247879,169804.653471,4356259.77993,50000,23021.1975624,18400
621,2400,14,1100,0.866863888889,0.956778379423,1.7632273279,165285.210184,4352233.31572,50000,23002.0854075,18400
622,2400,14,1200,0.870736111111,0.963433834715,1.76490381885,160099.286465,4369498.96678,50000,23057.8854456,18400
623,2400,14,1300,0.872791666667,0.958418511666,1.76569271378,155228.952488,4352467.34639,50000,23010.2381073,18400
624,2400,14,1400,0.875472222222,0.960374782934,1.76434493907,152202.261844,4343061.61386,50000,22996.6779454,18400
625,2400,14,1500,0.878222222222,0.965772448187,1.76707873962,148338.071158,4344386.19019,50000,23007.38469,18400
626,2400,14,1600,0.881188888889,0.950848221341,1.75570366449,143445.230788,4365823.07616,50000,23073.0393117,18400
627,2400,14,1700,0.883333333333,0.961793872751,1.76427887076,140073.075237,4351879.19716,50000,23027.4171078,18400
628,2400,14,1800,0.885427777778,0.954255790185,1.76797940917,136828.744442,4329309.43974,50000,22974.1100572,18400
629,2400,14,1900,0.887719444444,0.962747923488,1.76388602533,132628.807186,4340036.65189,50000,22999.0903151,18400
630,2400,14,2000,0.889894444444,0.945210561555,1.76218806881,129177.343424,4336980.02122,50000,23000.1123585,18400
631,2400,14,2100,0.893108333333,0.954071587901,1.76046949863,124231.534133,4338493.99888,50000,23016.666077,18400
632,2400,14,2200,0.894880555556,0.954387953943,1.76929594966,122228.254147,4324197.64474,50000,22973.0298239,18400
633,2400,14,2300,0.897002777778,0.95906364266,1.76673178258,119247.412185,4320417.38526,50000,22972.7077325,18400
634,2400,14,2400,0.897705555556,0.952710199385,1.7550328216,117507.960493,4338023.18869,50000,23016.8420097,18400
635,1600,15,2100,0.800233333333,0.916019802808,1.50087439295,263702.768587,3626467.99622,50000,20490.469407,17600
636,1600,15,2200,0.802255555556,0.932413951728,1.49645900531,258633.640567,3625597.83786,50000,20489.2113582,17600
637,1600,15,2300,0.80475,0.904202428703,1.49879259125,254360.307058,3613365.5026,50000,20456.3391137,17600
638,1600,15,2400,0.807905555556,0.9099096481,1.49767793016,247820.13949,3623760.69667,50000,20489.9706276,17600
639,1700,15,1700,0.80125,0.929548597828,1.52618443411,262021.78788,3751451.83187,50000,20896.1549588,17700
640,1700,15,1800,0.804575,0.924891292267,1.52492343194,256914.861785,3761971.76654,50000,20934.6718641,17700
641,1700,15,1900,0.809144444444,0.919786863225,1.52614331153,250233.658888,3747371.52827,50000,20894.5448256,17700
642,1700,15,2000,0.812230555556,0.933205096291,1.52777859094,242599.105069,3766549.86861,50000,20964.6322312,17700
643,1700,15,2100,0.814408333333,0.920367250133,1.52916815393,238825.78442,3739646.77271,50000,20895.7765485,17700
644,1700,15,2200,0.817005555556,0.911652488389,1.5259751956,234850.697575,3730489.95469,50000,20867.7515093,17700
645,1700,15,2300,0.820844444444,0.932487052484,1.52429712228,229181.794702,3750934.66323,50000,20932.4385949,17700
646,1700,15,2400,0.824419444444,0.910125355213,1.53097219122,221309.319707,3725700.73455,50000,20879.9192726,17700
647,1800,15,1300,0.8028,0.9283703154,1.55374383382,261905.555631,3885648.11896,50000,21339.506142,17800
648,1800,15,1400,0.805541666667,0.928245307025,1.55133548589,256149.19155,3872086.02438,50000,21309.1714406,17800
649,1800,15,1500,0.809769444444,0.931414877527,1.55389044676,249180.40881,3881585.12125,50000,21346.1126614,17800
650,1800,15,1600,0.8128,0.915328098901,1.55323954842,243560.382731,3877874.59902,50000,21337.4785704,17800
651,1800,15,1700,0.816102777778,0.939258410387,1.5559353434,238466.506912,3878221.86371,50000,21336.0060689,17800
652,1800,15,1800,0.819927777778,0.918961195966,1.55229201441,231954.170346,3873616.80511,50000,21340.4934815,17800
653,1800,15,1900,0.824325,0.938897310411,1.55935208014,226208.731276,3872045.52431,50000,21333.0553974,17800
654,1800,15,2000,0.825777777778,0.939507960272,1.55729318379,220722.76417,3862905.30644,50000,21324.526939,17800
655,1800,15,2100,0.829911111111,0.933851661185,1.55767556389,215674.280005,3868643.56771,50000,21340.6437895,17800
