DMU,V1
1851,1045
1852,1135
1853,1211
1854,1261
1855,1346
1856,1406
1857,1480
1858,1551
1859,1609
1860,1676
1861,1716
1862,1771
1863,1819
1864,1864
1865,69.5
1866,615
1867,689
1868,819
1869,881
1870,1005
1871,1089
1872,1163
1873,1225
1874,1299
1875,1395
1876,1439
1877,1522
1878,1571
1879,1650
1880,1673
1881,1763
1882,1808
1883,1854
1884,1926
1885,1968
1886,2015
1887,2063
1888,2110
1889,149
1890,970
1891,1066
1892,1170
1893,1253
1894,1311
1895,1411
1896,1468
1897,1540
1898,1594
1899,1672
1900,1741
1901,1806
1902,1844
1903,1888
1904,1941
1905,1998
1906,2053
1907,2085
1908,2118
1909,2192
1910,2227
1911,2259
1912,2294
1913,69.5
1914,1363
1915,1424
1916,1500
1917,1556
1918,1661
1919,1699
1920,1747
1921,1826
1922,1865
1923,1917
1924,1982
1925,2028
1926,2065
1927,2109
1928,2154
1929,2207
1930,2247
1931,2286
1932,2322
1933,2357
1934,2397
1935,2423
1936,2456
1937,165
1938,1641
1939,1718
1940,1783
1941,1829
1942,1892
1943,1942
1944,1995
1945,2038
1946,2084
1947,2146
1948,2186
1949,2221
1950,2263
1951,2300
1952,2353
1953,2386
1954,2417
1955,2444
1956,2471
1957,2507
1958,2535
1959,2566
1960,2590
1961,141
1962,1895
1963,1961
1964,2016
1965,2071
1966,2120
1967,2162
1968,2216
1969,2248
1970,2296
1971,2327
1972,2378
1973,2410
1974,2436
1975,2470
1976,2502
1977,2538
1978,2561
1979,2593
1980,2609
1981,2634
1982,2652
1983,2670
1984,2687
1985,69.5
1986,2125
1987,2182
1988,2235
1989,2279
1990,2309
1991,2348
1992,2387
1993,2418
1994,2451
1995,2479
1996,2512
1997,2549
1998,2574
1999,2606
2000,2619
2001,2649
2002,2671
2003,2685
2004,2706
2005,2717
2006,2730
2007,2747
2008,2758
2009,69.5
2010,2329
2011,2373
2012,2413
2013,2447
2014,2481
2015,2509
2016,2543
2017,2565
2018,2588
2019,2612
2020,2644
2021,2657
2022,2681
2023,2699
2024,2714
2025,2733
2026,2742
2027,2752
2028,2766
2029,2777
2030,2786
2031,2793
2032,2801
2033,69.5
2034,266
2035,404
2036,69.5
2037,255
2038,356
2039,472
2040,535
2041,656
2042,733
2043,820
2044,69.5
2045,69.5
2046,315
2047,455
2048,545
2049,612
2050,705
2051,774
2052,913
2053,967
2054,1064
2055,1122
2056,1195
2057,157
2058,248
2059,311
2060,456
2061,552
2062,695
2063,773
2064,860
2065,953
2066,1025
2067,1110
2068,1189
2069,1250
2070,1307
2071,1384
2072,1441
2073,1520
2074,164
2075,241
2076,368
2077,488
2078,571
2079,699
2080,806
2081,886
2082,975
2083,1065
2084,1161
2085,1223
2086,1270
2087,1366
2088,1431
2089,1497
2090,1555
2091,1633
2092,1685
2093,1730
2094,1756
2095,69.5
2096,385
2097,489
2098,631
2099,680
2100,803
2101,943
2102,1014
2103,1107
2104,1179
2105,1263
2106,1351
2107,1410
2108,1464
2109,1538
2110,1599
2111,1662
2112,1712
2113,1782
