DMU,(O)Demand,(O)PctDemand s,(O)Risk
1491,0.894731,1.02787364089039,1.695566371666
1492,0.895514,1.02755655349757,1.69774216993685
1493,0.848686,0.973277,1.538505
1494,0.852125,0.99680782760122,1.64223623757145
1495,0.855417,1.00089728591549,1.6479756779474
1496,0.857833,1.00501647684574,1.65034121012676
1497,0.860331,1.00890152623287,1.652785061817
1498,0.863164,1.01149211523026,1.65819895018182
1499,0.865283,1.01325150579797,1.66224140903219
1500,0.868317,1.0160875935036,1.66804182183365
1501,0.870136,1.01747962490663,1.67148393218292
1502,0.874025,1.02120411474118,1.67882052830822
1503,0.876375,1.0231351975656,1.68320179794112
1504,0.877889,1.0240971277947,1.68597852597521
1505,0.881222,1.02718683364019,1.69224957729701
1506,0.883708,1.02873959433604,1.69707394880749
1507,0.885411,1.02859027778819,1.70065285006137
1508,0.88665,1.02792062296071,1.70333781846693
1509,0.890247,1.0299985839409,1.71055071281458
1510,0.89195,1.02989777786636,1.71412259493725
1511,0.894181,1.03042212293503,1.71870693003147
1512,0.896256,1.03204092218485,1.72339167962817
1513,0.899044,1.03460809953317,1.72948229691645
1514,0.901142,1.03638514226255,1.73424113434936
1515,0.903728,1.03872740934253,1.73993460326665
1516,0.904853,1.03939501958112,1.74281002512925
1517,0.860758,0.958973,1.561447
1518,0.862842,1.00964733626838,1.68579235501933
1519,0.86575,1.01387157084378,1.68934955579956
1520,0.868053,1.01585309466685,1.69364329876123
1521,0.869589,1.01687550501505,1.69638236703278
1522,0.873303,1.0203976721313,1.70332553913736
1523,0.875497,1.02214883713943,1.70730588839202
1524,0.878314,1.02463311247983,1.71250326638046
1525,0.881447,1.02749082168324,1.71831853207248
1526,0.883467,1.02905653238748,1.72196607385975
1527,0.885842,1.03104172829021,1.72630774802117
1528,0.8875,1.0320888028989,1.7292902811582
1529,0.889964,1.03284876881763,1.73424725836065
1530,0.892272,1.03344152378606,1.73889921853897
1531,0.895553,1.03551194038877,1.74555527626001
1532,0.896944,1.03645158573925,1.74886045402186
1533,0.898347,1.03741073247867,1.75218402482191
1534,0.900914,1.03971874721227,1.75777376588433
1535,0.903481,1.04203052004792,1.76336016927639
1536,0.905589,1.04381692596903,1.7680471526843
1537,0.907481,1.04535879217391,1.77230848899391
1538,0.909083,1.04657130626511,1.77599927378639
1539,0.910436,1.04750216442402,1.77919916534365
1540,0.913089,1.04993294237473,1.78493581843341
1541,0.870753,0.963452,1.582227
1542,0.873453,1.02165377030096,1.73021710300972
1543,0.874364,1.02173642261511,1.73142404075288
1544,0.876978,1.02381778969513,1.73600855170534
1545,0.881172,1.02774861201163,1.74372370875734
1546,0.882169,1.02795718410235,1.74511640377421
1547,0.884564,1.02980315860188,1.74927972550164
1548,0.887611,1.03241422582365,1.75473608925954
1549,0.889572,1.03389036284986,1.75814401133291
1550,0.892264,1.03626229055412,1.76303144040946
1551,0.89465,1.0380791327809,1.76790561738943
1552,0.896556,1.03960291263194,1.77212461452709
1553,0.899017,1.04177482196059,1.77743760708502
1554,0.900606,1.04294099868179,1.78102346129959
1555,0.903419,1.04552901795632,1.78702698413408
1556,0.905525,1.04730276310696,1.79162941898639
1557,0.907092,1.04845789518213,1.79516226964482
1558,0.909447,1.05052835492657,1.80025162058303
1559,0.911706,1.05249187522923,1.80514833829585
1560,0.912894,1.05322371684706,1.80792141446689
1561,0.915331,1.05540106288619,1.81316507924548
1562,0.916369,1.05596985737287,1.81563450382765
1563,0.918728,1.058065411681,1.82071830047877
1564,0.919017,1.05778196386662,1.8216965577525
1565,0.801867,0.907521,1.316113
1566,0.803581,0.908481714345976,1.32537575976231
1567,0.806419,0.904238,1.311919
1568,0.803675,0.9184,1.34425537779622
1569,0.806694,0.921237,1.34888815678802
1570,0.808608484619894,0.937627,1.36111793589637
1571,0.812208,0.921692958805137,1.35636725012916
1572,0.815178,0.926653,1.36288177682482
1573,0.817797,0.930966,1.37783340490633
1574,0.821347,0.929955655633398,1.38550117757233
1575,0.801531,0.922908,1.361006
1576,0.805136,0.923305643354197,1.36973798369157
1577,0.809119,0.938195,1.37804197655602
1578,0.811244,0.932693,1.38055765560711
1579,0.813964,0.931026685338436,1.38442829098596
1580,0.817058,0.933295875914466,1.38900000179421
1581,0.820297,0.935102451601334,1.39332888430155
1582,0.822833,0.936121067472104,1.39647202651716
1583,0.825897,0.937919699542099,1.40106790959867
1584,0.830175,0.942760261503947,1.41320053345584
1585,0.831714,0.944490478428651,1.42064082156394
1586,0.834797,0.947443698715233,1.43130755975849
1587,0.800225,0.926903,1.378642
1588,0.803806,0.930299,1.38554082009351
1589,0.805319,0.941746,1.39148185962717
1590,0.810006,0.935174292657677,1.39747070839654
1591,0.813553,0.938276338790561,1.40423247472873
1592,0.815536,0.939582703900651,1.40828946722014
1593,0.819406,0.943070632957476,1.41560010367621
1594,0.821622,0.944662028724527,1.4200487169366
1595,0.824017,0.946076718183313,1.42473443176511
1596,0.828828,0.948941693820237,1.43063038622661
1597,0.830136,0.948556898702043,1.43157719659287
1598,0.834303,0.951452512879583,1.43746382658306
1599,0.835747,0.951255719118251,1.438667874053
1600,0.839319,0.954637206880495,1.44732626923971
1601,0.842803,0.958573040126646,1.45797795878149
1602,0.844217,0.960154716695418,1.46501673473491
1603,0.848064,0.964503691776086,1.4762481259146
1604,0.801222,0.92635,1.404077
1605,0.804114,0.934438,1.40847774940436
1606,0.806889,0.940547,1.41326886027833
1607,0.811361,0.942929488077241,1.42110602971788
1608,0.814194,0.946542046906041,1.42649187317651
1609,0.817289,0.950040499885415,1.4323508546946
1610,0.819206,0.951238938395923,1.43618075631406
