DMU,u1,u2,u3
1832,0.000323256603503667,0.0178277332658126,7.22713572080445e-05
1833,0.0003243633575418,0.0176010351714887,6.96230558324117e-05
1834,0.000322120655106276,0.0174793386742456,6.91416703945888e-05
1835,0.000318265818981507,0.0175478031167674,6.79282356541522e-05
1836,0.000316118481908138,0.0174294082218666,6.74699243619893e-05
1837,0.000313999926777205,0.0173126002390031,6.70177560687028e-05
1838,0.000311909578770651,0.017197347475191,6.65716080894985e-05
1839,0.000307979115185481,0.0175879618056807,6.26755535381527e-05
1840,0.00030606086179256,0.0174784148729674,6.22851777389516e-05
1841,0.00030416635623652,0.017370224123279,6.18996347636287e-05
1842,0.000349395541033539,0.0187575100254794,6.05993485395824e-05
1843,0.000349674059843656,0.0181072751337598,8.43377348560974e-05
1844,0.00034674965182396,0.0179558396494126,8.36323981540078e-05
1845,0.000343873753160061,0.0178069161393663,8.29387614024071e-05
1846,0.000341045166788489,0.0176604426157297,8.2256535882076e-05
1847,0.000338262734710957,0.0175163591135351,8.15854422959091e-05
1848,0.00032240612000122,0.0186284765106996,7.58894865915419e-05
1849,0.000321661783653598,0.0184535632196446,7.29446001959418e-05
1850,0.000319332426038897,0.0183199292283267,7.24163619390132e-05
1851,0.000317036562592438,0.0181882167793946,7.18957192959729e-05
1852,0.000314773476044884,0.0180583847234927,7.13825096086265e-05
1853,0.000312542469461937,0.0179303930778759,7.08765748302419e-05
1854,0.000310342865528768,0.0178042029853574,7.0377761363277e-05
1855,0.000308174005864459,0.0176797766749787,6.98859199039119e-05
1856,0.000304466947752905,0.0177481303075993,6.85596577252984e-05
1857,0.000302428552872115,0.0176331939661666,6.79849334281803e-05
1858,0.000300386378080461,0.017514124308649,6.75258593231041e-05
1859,0.000306431612299267,0.0168953160555818,6.54024325915939e-05
1860,0.000304440497388408,0.0167855345762183,6.49774641695617e-05
1861,0.000302475090949969,0.0166771705510254,6.45579827683428e-05
