DMU,peer1,peer2,peer3,peer4,peer5
850,659,800,845,NA,NA
851,659,800,845,NA,NA
852,659,800,845,NA,NA
853,635,659,800,NA,NA
854,371,635,659,NA,NA
855,371,635,659,NA,NA
856,371,635,659,NA,NA
857,371,635,659,NA,NA
858,371,635,659,NA,NA
859,371,635,659,NA,NA
860,371,635,659,NA,NA
861,371,635,659,NA,NA
862,371,635,659,NA,NA
863,371,635,659,NA,NA
864,371,635,659,NA,NA
865,371,635,659,NA,NA
866,371,635,659,NA,NA
867,370,371,635,NA,NA
868,370,371,635,NA,NA
869,869,NA,NA,NA,NA
870,423,659,845,NA,NA
871,423,659,845,NA,NA
872,423,659,845,NA,NA
873,423,659,845,NA,NA
874,423,659,845,NA,NA
875,423,659,845,NA,NA
876,301,423,659,NA,NA
877,301,371,659,NA,NA
878,301,371,659,NA,NA
879,301,371,659,NA,NA
880,301,371,659,NA,NA
881,301,371,659,NA,NA
882,371,635,659,NA,NA
883,371,635,659,NA,NA
884,371,635,659,NA,NA
885,371,635,659,NA,NA
886,371,635,659,NA,NA
887,371,635,659,NA,NA
888,371,635,659,NA,NA
889,371,635,659,NA,NA
890,371,635,659,NA,NA
891,370,371,635,NA,NA
892,370,371,635,NA,NA
893,893,NA,NA,NA,NA
894,423,659,845,NA,NA
895,423,659,845,NA,NA
896,423,659,845,NA,NA
897,423,659,845,NA,NA
898,423,659,845,NA,NA
899,301,423,659,NA,NA
900,301,371,659,NA,NA
901,301,371,659,NA,NA
902,301,371,659,NA,NA
903,301,371,659,NA,NA
904,301,371,659,NA,NA
905,301,371,659,NA,NA
906,301,371,659,NA,NA
907,301,371,659,NA,NA
908,301,371,659,NA,NA
909,301,371,659,NA,NA
910,301,371,659,NA,NA
911,301,371,659,NA,NA
912,301,371,659,NA,NA
913,301,371,659,NA,NA
914,371,635,659,NA,NA
915,370,371,635,NA,NA
916,263,370,371,NA,NA
917,471,769,893,941,1255
918,423,659,845,NA,NA
919,423,659,845,NA,NA
920,423,659,845,NA,NA
921,423,659,845,NA,NA
922,301,423,659,NA,NA
923,301,423,659,NA,NA
924,301,371,659,NA,NA
925,301,371,659,NA,NA
926,301,371,659,NA,NA
927,301,371,659,NA,NA
928,301,371,659,NA,NA
929,301,371,659,NA,NA
930,301,371,659,NA,NA
931,301,371,659,NA,NA
932,301,371,659,NA,NA
933,301,371,659,NA,NA
934,301,371,659,NA,NA
935,301,371,659,NA,NA
936,301,371,659,NA,NA
937,188,301,371,NA,NA
938,179,188,371,NA,NA
939,175,179,371,NA,NA
940,175,263,371,NA,NA
941,941,NA,NA,NA,NA
942,423,659,845,NA,NA
943,423,659,845,NA,NA
944,423,659,845,NA,NA
945,301,423,659,NA,NA
946,301,423,659,NA,NA
947,301,423,659,NA,NA
948,301,371,659,NA,NA
949,301,371,659,NA,NA
950,301,371,659,NA,NA
951,301,371,659,NA,NA
952,301,371,659,NA,NA
953,301,371,659,NA,NA
954,301,371,659,NA,NA
955,301,371,659,NA,NA
956,301,371,659,NA,NA
957,301,371,659,NA,NA
958,188,301,371,NA,NA
959,188,301,371,NA,NA
960,188,301,371,NA,NA
961,188,301,371,NA,NA
962,179,188,371,NA,NA
963,175,179,371,NA,NA
964,175,179,371,NA,NA
965,635,1153,1351,1565,NA
966,635,1565,1793,NA,NA
967,967,NA,NA,NA,NA
968,968,NA,NA,NA,NA
969,800,1153,1351,NA,NA
970,635,800,1153,NA,NA
971,635,800,1153,NA,NA
972,635,800,1153,NA,NA
973,635,800,1153,1351,NA
974,635,1153,1351,1565,NA
975,635,1153,1565,NA,NA
976,976,NA,NA,NA,NA
977,977,NA,NA,NA,NA
978,800,1171,1356,NA,NA
979,800,1171,1356,NA,NA
980,800,1171,1356,NA,NA
981,800,1153,1356,NA,NA
982,635,800,1153,NA,NA
